"race","series","track","postseason","race url"
"GEICO 400","sprint-cup","Chicagoland Speedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=GEICO_400"
"Sylvania 300","sprint-cup","New Hampshire Motor Speedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Sylvania_300"
"AAA 400","sprint-cup","Dover International Speedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=AAA_400"
"Hollywood Casino 400","sprint-cup","Kansas Speedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Hollywood_Casino_400"
"Bank of America 500","sprint-cup","Charlotte Motor Speedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Bank_of_America_500"
"Camping World RV Sales 500","sprint-cup","Talladega Superspeedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Camping_World_RV_Sales_500"
"Goody's Fast Relief 500","sprint-cup","Martinsville Speedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Goody%27s_Fast_Relief_500"
"AAA Texas 500","sprint-cup","Texas Motor Speedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=AAA_Texas_500"
"AdvoCare 500","sprint-cup","Phoenix International Raceway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=AdvoCare_500"
"Ford EcoBoost 400","sprint-cup","Homestead-Miami Speedway",TRUE,"http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Ford_EcoBoost_400"
